Métrica,Valor
MSE promedio (CV),0.0793
RMSE promedio (CV),0.2817
Desviación estándar (MSE),0.0074
MAE promedio (CV),0.1409
Mediana del Error Absoluto (MedianAE),0.0971
R² (CV),0.7572
Max Error (CV),3.6966
