Métrica,Valor
MSE promedio (CV),0.0764
RMSE promedio (CV),0.2764
Desviación estándar (MSE),0.0075
MAE promedio (CV),0.0924
Mediana del Error Absoluto (MedianAE),0.0790
R² (CV),0.9373
Max Error (CV),0.7543
