Métrica,Valor
MSE promedio (CV),0.1162
RMSE promedio (CV),0.3409
Desviación estándar (MSE),0.0117
MAE promedio (CV),0.1973
Mediana del Error Absoluto (MedianAE),0.1344
R² (CV),0.5827
Max Error (CV),4.2723
