Métrica,Valor
MSE promedio (CV),0.1528
RMSE promedio (CV),0.3909
Desviación estándar (MSE),0.0258
MAE promedio (CV),0.2545
Mediana del Error Absoluto (MedianAE),0.1683
R² (CV),0.3622
Max Error (CV),4.1373
