Métrica,Valor
MSE promedio (CV),0.1092
RMSE promedio (CV),0.3304
Desviación estándar (MSE),0.0079
MAE promedio (CV),0.1291
Mediana del Error Absoluto (MedianAE),0.0757
R² (CV),0.7434
Max Error (CV),3.2005
