Métrica,Valor
MSE promedio (CV),0.1139
RMSE promedio (CV),0.3375
Desviación estándar (MSE),0.0146
MAE promedio (CV),0.1835
Mediana del Error Absoluto (MedianAE),0.1231
R² (CV),0.6208
Max Error (CV),4.0420
