Métrica,Valor
MSE promedio (CV),0.1946
RMSE promedio (CV),0.4411
Desviación estándar (MSE),0.0746
MAE promedio (CV),0.3020
Mediana del Error Absoluto (MedianAE),0.2341
R² (CV),0.2434
Max Error (CV),4.4596
