Métrica,Valor
MSE promedio (CV),0.1480
RMSE promedio (CV),0.3848
Desviación estándar (MSE),0.0223
MAE promedio (CV),0.2576
Mediana del Error Absoluto (MedianAE),0.1805
R² (CV),0.3825
Max Error (CV),4.2717
