Métrica,Valor
MSE promedio (CV),0.2336
RMSE promedio (CV),0.4833
Desviación estándar (MSE),0.0672
MAE promedio (CV),0.2686
Mediana del Error Absoluto (MedianAE),0.1916
R² (CV),0.3477
Max Error (CV),4.3121
