Métrica,Valor
MSE promedio (CV),0.1020
RMSE promedio (CV),0.3194
Desviación estándar (MSE),0.0064
MAE promedio (CV),0.1794
Mediana del Error Absoluto (MedianAE),0.1156
R² (CV),0.6295
Max Error (CV),3.7460
