Métrica,Valor
MSE promedio (CV),0.1426
RMSE promedio (CV),0.3777
Desviación estándar (MSE),0.0170
MAE promedio (CV),0.2537
Mediana del Error Absoluto (MedianAE),0.1800
R² (CV),0.3994
Max Error (CV),4.2016
