Métrica,Valor
MSE promedio (CV),0.1434
RMSE promedio (CV),0.3787
Desviación estándar (MSE),0.0155
MAE promedio (CV),0.2539
Mediana del Error Absoluto (MedianAE),0.1805
R² (CV),0.3993
Max Error (CV),4.1838
