Métrica,Valor
MSE promedio (CV),0.0843
RMSE promedio (CV),0.2904
Desviación estándar (MSE),0.0073
MAE promedio (CV),0.1553
Mediana del Error Absoluto (MedianAE),0.1031
R² (CV),0.7069
Max Error (CV),3.9377
