Métrica,Valor
MSE promedio (CV),0.0949
RMSE promedio (CV),0.3081
Desviación estándar (MSE),0.0085
MAE promedio (CV),0.1737
Mediana del Error Absoluto (MedianAE),0.1158
R² (CV),0.6516
Max Error (CV),4.1099
