Métrica,Valor
MSE promedio (CV),0.0781
RMSE promedio (CV),0.2794
Desviación estándar (MSE),0.0093
MAE promedio (CV),0.0851
Mediana del Error Absoluto (MedianAE),0.0738
R² (CV),0.9450
Max Error (CV),1.4145
