Métrica,Valor
MSE promedio (CV),0.1183
RMSE promedio (CV),0.3439
Desviación estándar (MSE),0.0121
MAE promedio (CV),0.2165
Mediana del Error Absoluto (MedianAE),0.1495
R² (CV),0.5284
Max Error (CV),3.9930
